Tweets,sentiment
"The Curvv Super Striker of the Match between Gujarat Titans and Rajasthan Royals goes to Rahul Tewatia. 

#TATAIPL | #GTvRR | #CurvvSuperStriker | @TataMotors_Cars https://t.co/wRtrRYNWar",0.3333333333333333
"𝙎𝙖𝙞-𝙡𝙞𝙣𝙜 𝙎𝙢𝙤𝙤𝙩𝙝𝙡𝙮 ⛵

For his elegant and outstanding knock of 82(53), Sai Sudharsan wins the Player of the Match award 🏆

Scorecard ▶ https://t.co/raxxjzY9g7

#TATAIPL | #GTvRR | @gujarat_titans https://t.co/WwzOjUSTAl",0.43333333333333335
"🔝 of their Game. 🔝 of the Table. 💙

#GT roar to the top of the points table with another strong display of cricket 💪

Scorecard ▶ https://t.co/raxxjzYH5F

#TATAIPL | #GTvRR | @gujarat_titans https://t.co/ZDRsDqoMAT",0.17777777777777778
Match 23. Gujarat Titans Won by 58 Run(s)  https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025,0.0
"Match 23. WICKET!  19.2: Maheesh Theekshana 5(13) ct Sai Sudharsan b Sai Kishore, Rajasthan Royals 159 all out https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"𝗣𝗲𝗿𝗳𝗲𝗰𝘁 𝗣𝗿𝗮𝘀𝗶𝗱𝗵 😎

Twin strikes in the same over as he put #GT in touching distance to victory ✌️

Updates ▶ https://t.co/raxxjzYH5F

#TATAIPL | #GTvRR | @prasidh43 https://t.co/FKV82AiIIP",0.25
"Match 23. WICKET!  16.5: Tushar Deshpande 3(3) ct Rashid Khan b Sai Kishore, Rajasthan Royals 150/9 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. WICKET!  15.6: Shimron Hetmyer 52(32) ct Sai Kishore b Prasidh Krishna, Rajasthan Royals 145/8 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Rashid Khan is back with his MAGIC for #GT 🪄

Shimron Hetmyer keeps the fight on for #RR with his maiden FIFTY of the season 💪

Updates ▶ https://t.co/raxxjzY9g7

#TATAIPL | #GTvRR | @rashidkhan_19 | @SHetmyer https://t.co/xAzrr7iBVO",0.25
"Match 23. WICKET!  15.3: Jofra Archer 4(4) ct Shubman Gill b Prasidh Krishna, Rajasthan Royals 144/7 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. 15.1: Prasidh Krishna to Shimron Hetmyer 4 runs, Rajasthan Royals 143/6 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. 14.3: Sai Kishore to Shimron Hetmyer 6 runs, Rajasthan Royals 136/6 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"𝐇𝐄𝐓 𝐌𝐎𝐃𝐄: 🔛

🎥 Shimron Hetmyer takes down Rashid Khan to keep #RR in chase! 💪

Updates ▶ https://t.co/raxxjzY9g7

#TATAIPL | #GTvRR | @SHetmyer | @rajasthanroyals https://t.co/mDpEH5rROP",-0.19444444444444445
"Match 23. 13.4: Rashid Khan to Shimron Hetmyer 4 runs, Rajasthan Royals 124/6 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
"Match 23. WICKET!  13.2: Shubham Dubey 1(3) lbw Rashid Khan, Rajasthan Royals 119/6 https://t.co/raxxjzY9g7 #GTvRR #TATAIPL #IPL2025",0.0
